symbol,close
ACC.NS,EQ
ADANIPORTS.NS,EQ
AMBUJACEM.NS,	EQ
ASIANPAINT.NS,	EQ
AUROPHARMA.NS,	EQ
AXISBANK.NS,	EQ
BANKBARODA.NS,	EQ
BHEL.NS,	EQ
BPCL.NS,	EQ
BHARTIARTL.NS,	EQ
INFRATEL.NS,	EQ
BOSCHLTD.NS,	EQ
CIPLA.NS,	EQ
COALINDIA.NS,	EQ
DRREDDY.NS,	EQ
EICHERMOT.NS,	EQ
GAIL.NS,	EQ
GRASIM.NS,	EQ
HCLTECH.NS,	EQ
HDFCBANK.NS,	EQ
HEROMOTOCO.NS,	EQ
HINDALCO.NS,	EQ
HINDUNILVR.NS,	EQ
HDFC.NS,	EQ
ITC.NS,	EQ
ICICIBANK.NS,	EQ
IDEA.NS,	EQ
INDUSINDBK.NS,	EQ
INFY.NS,	EQ
KOTAKBANK.NS,	EQ
LT.NS,	EQ
LUPIN.NS,	EQ
M&M.NS,	EQ
MARUTI.NS,	EQ
NTPC.NS,	EQ
ONGC.NS,	EQ
POWERGRID.NS,	EQ
RELIANCE.NS,	EQ
SBIN.NS,	EQ
SUNPHARMA.NS,	EQ
TCS.NS,	EQ
TATAMTRDVR.NS,	EQ
TATAMOTORS.NS,	EQ
TATAPOWER.NS,	EQ
TATASTEEL.NS,	EQ
TECHM.NS,	EQ
ULTRACEMCO.NS,	EQ
WIPRO.NS,	EQ
YESBANK.NS,	EQ
ZEEL.NS,	EQ
